,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-01-13,36.1,22,0.0,-,0.0,0.0
1,2020-01-14,35.3,22,-0.8,▼,-1.0,-2.2
2,2020-01-15,35.4,10,0.1,▲,0.0,0.3
3,2020-01-16,35.0,17,-0.4,▼,-1.0,-1.1
4,2020-01-17,36.4,18,1.4,▲,0.0,4.0
5,2020-01-18,36.5,18,0.1,▲,1.0,0.3
6,2020-01-19,36.4,19,-0.1,▼,0.0,-0.3
7,2020-01-20,36.6,18,0.2,▲,1.0,0.5
8,2020-01-21,37.5,9,0.9,▲,2.0,2.5
9,2020-01-22,37.0,13,-0.5,▼,1.0,-1.3
10,2020-01-23,37.9,17,0.9,▲,2.0,2.4
11,2020-01-24,38.4,22,0.5,▲,3.0,1.3
12,2020-01-25,38.2,16,-0.2,▼,2.0,-0.5
13,2020-01-26,38.3,22,0.1,▲,3.0,0.3
14,2020-01-27,38.4,16,0.1,▲,4.0,0.3
15,2020-01-28,37.7,11,-0.7,▼,3.0,-1.8
16,2020-01-29,38.1,15,0.4,▲,4.0,1.1
17,2020-01-30,42.6,18,4.5,▲,5.0,11.8
18,2020-01-31,41.6,23,-1.0,▼,4.0,-2.3
19,2020-02-01,42.1,36,0.5,▲,5.0,1.2
20,2020-02-02,42.9,17,0.8,▲,6.0,1.9
21,2020-02-03,43.2,12,0.3,▲,7.0,0.7
22,2020-02-04,39.7,16,-3.5,▼,6.0,-8.1
23,2020-02-05,39.7,16,0.0,-,6.0,0.0
24,2020-02-06,39.2,11,-0.5,▼,5.0,-1.3
25,2020-02-07,39.0,17,-0.2,▼,4.0,-0.5
26,2020-02-08,38.7,10,-0.3,▼,3.0,-0.8
27,2020-02-09,38.0,15,-0.7,▼,2.0,-1.8
28,2020-02-10,39.0,12,1.0,▲,3.0,2.6
29,2020-02-11,39.3,14,0.3,▲,4.0,0.8
30,2020-02-12,39.1,19,-0.2,▼,3.0,-0.5
31,2020-02-13,39.3,12,0.2,▲,4.0,0.5
32,2020-02-14,39.5,55,0.2,▲,5.0,0.5
33,2020-02-15,41.1,77,1.6,▲,6.0,4.1
34,2020-02-16,41.8,45,0.7,▲,7.0,1.7
35,2020-02-17,42.6,20,0.8,▲,8.0,1.9
36,2020-02-18,43.1,20,0.5,▲,9.0,1.2
37,2020-02-19,45.1,26,2.0,▲,10.0,4.6
38,2020-02-20,44.3,8,-0.8,▼,9.0,-1.8
39,2020-02-21,44.8,19,0.5,▲,10.0,1.1
40,2020-02-22,44.8,20,0.0,-,10.0,0.0
41,2020-02-23,46.2,9,1.4,▲,11.0,3.1
42,2020-02-24,44.7,18,-1.5,▼,10.0,-3.2
43,2020-02-25,45.1,13,0.4,▲,11.0,0.9
44,2020-02-26,45.1,12,0.0,-,11.0,0.0
45,2020-02-27,44.8,18,-0.3,▼,10.0,-0.7
46,2020-02-28,43.2,13,-1.6,▼,9.0,-3.6
47,2020-02-29,43.2,20,0.0,-,9.0,0.0
48,2020-03-01,42.0,23,-1.2,▼,8.0,-2.8
49,2020-03-02,40.9,9,-1.1,▼,7.0,-2.6
50,2020-03-03,40.7,11,-0.2,▼,6.0,-0.5
51,2020-03-04,41.3,22,0.6,▲,7.0,1.5
52,2020-03-05,41.9,27,0.6,▲,8.0,1.5
53,2020-03-06,42.8,29,0.9,▲,9.0,2.1
54,2020-03-07,43.9,38,1.1,▲,10.0,2.6
55,2020-03-08,44.4,32,0.5,▲,11.0,1.1
56,2020-03-09,44.9,15,0.5,▲,12.0,1.1
57,2020-03-10,43.9,17,-1.0,▼,11.0,-2.2
58,2020-03-11,43.9,14,0.0,-,11.0,0.0
59,2020-03-12,43.2,13,-0.7,▼,10.0,-1.6
60,2020-03-13,42.7,26,-0.5,▼,9.0,-1.2
61,2020-03-14,41.8,24,-0.9,▼,8.0,-2.1
62,2020-03-15,42.2,33,0.4,▲,9.0,1.0
63,2020-03-16,41.8,28,-0.4,▼,8.0,-0.9
64,2020-03-17,41.1,27,-0.7,▼,7.0,-1.7
65,2020-03-18,40.8,22,-0.3,▼,6.0,-0.7
66,2020-03-19,40.0,27,-0.8,▼,5.0,-2.0
67,2020-03-20,40.0,22,0.0,-,5.0,0.0
68,2020-03-21,39.5,25,-0.5,▼,4.0,-1.2
69,2020-03-22,39.9,27,0.4,▲,5.0,1.0
70,2020-03-23,40.0,13,0.1,▲,6.0,0.3
71,2020-03-24,40.3,18,0.3,▲,7.0,0.8
72,2020-03-25,39.8,20,-0.5,▼,6.0,-1.2
73,2020-03-26,39.7,18,-0.1,▼,5.0,-0.3
74,2020-03-27,39.7,21,0.0,-,5.0,0.0
75,2020-03-28,39.9,21,0.2,▲,6.0,0.5
76,2020-03-29,39.4,37,-0.5,▼,5.0,-1.3
77,2020-03-30,39.2,15,-0.2,▼,4.0,-0.5
78,2020-03-31,39.1,11,-0.1,▼,3.0,-0.3
79,2020-04-01,39.1,37,0.0,-,3.0,0.0
80,2020-04-02,39.1,26,0.0,-,3.0,0.0
81,2020-04-03,39.0,27,-0.1,▼,2.0,-0.3
82,2020-04-04,38.7,37,-0.3,▼,1.0,-0.8
83,2020-04-05,37.6,27,-1.1,▼,0.0,-2.8
84,2020-04-06,37.1,30,-0.5,▼,-1.0,-1.3
85,2020-04-07,36.6,23,-0.5,▼,-2.0,-1.3
86,2020-04-08,36.4,24,-0.2,▼,-3.0,-0.5
87,2020-04-09,36.8,19,0.4,▲,-2.0,1.1
88,2020-04-10,37.1,38,0.3,▲,-1.0,0.8
89,2020-04-11,37.0,31,-0.1,▼,-2.0,-0.3
90,2020-04-12,37.2,33,0.2,▲,-1.0,0.5
91,2020-04-13,37.7,22,0.5,▲,0.0,1.3
92,2020-04-14,37.6,30,-0.1,▼,-1.0,-0.3
93,2020-04-15,38.0,21,0.4,▲,0.0,1.1
94,2020-04-16,38.1,20,0.1,▲,1.0,0.3
95,2020-04-17,38.3,17,0.2,▲,2.0,0.5
96,2020-04-18,38.3,23,0.0,-,2.0,0.0
97,2020-04-19,38.5,18,0.2,▲,3.0,0.5
98,2020-04-20,38.9,27,0.4,▲,4.0,1.0
99,2020-04-21,39.4,31,0.5,▲,5.0,1.3
100,2020-04-22,39.0,19,-0.4,▼,4.0,-1.0
101,2020-04-23,39.0,22,0.0,-,4.0,0.0
102,2020-04-24,38.7,24,-0.3,▼,3.0,-0.8
103,2020-04-25,38.7,21,0.0,-,3.0,0.0
104,2020-04-26,38.4,20,-0.3,▼,2.0,-0.8
105,2020-04-27,38.7,17,0.3,▲,3.0,0.8
106,2020-04-28,38.7,27,0.0,-,3.0,0.0
107,2020-04-29,39.0,36,0.3,▲,4.0,0.8
108,2020-04-30,39.2,24,0.2,▲,5.0,0.5
109,2020-05-01,38.9,25,-0.3,▼,4.0,-0.8
110,2020-05-02,38.2,26,-0.7,▼,3.0,-1.8
111,2020-05-03,38.0,23,-0.2,▼,2.0,-0.5
112,2020-05-04,37.0,23,-1.0,▼,1.0,-2.6
113,2020-05-05,36.3,20,-0.7,▼,0.0,-1.9
114,2020-05-06,36.3,24,0.0,-,0.0,0.0
115,2020-05-07,36.2,28,-0.1,▼,-1.0,-0.3
116,2020-05-08,36.2,39,0.0,-,-1.0,0.0
117,2020-05-09,35.4,42,-0.8,▼,-2.0,-2.2
118,2020-05-10,34.6,32,-0.8,▼,-3.0,-2.3
119,2020-05-11,34.0,23,-0.6,▼,-4.0,-1.7
120,2020-05-12,33.9,24,-0.1,▼,-5.0,-0.3
121,2020-05-13,33.4,24,-0.5,▼,-6.0,-1.5
122,2020-05-14,35.0,29,1.6,▲,-5.0,4.8
123,2020-05-15,35.5,32,0.5,▲,-4.0,1.4
124,2020-05-16,36.2,41,0.7,▲,-3.0,2.0
125,2020-05-17,35.8,34,-0.4,▼,-4.0,-1.1
126,2020-05-18,36.3,21,0.5,▲,-3.0,1.4
127,2020-05-19,35.5,13,-0.8,▼,-4.0,-2.2
128,2020-05-20,35.0,33,-0.5,▼,-5.0,-1.4
129,2020-05-21,34.3,14,-0.7,▼,-6.0,-2.0
130,2020-05-22,34.6,18,0.3,▲,-5.0,0.9
131,2020-05-23,33.9,20,-0.7,▼,-6.0,-2.0
